iter	MultiClass
139	0.2549225419
140	0.2537264058
141	0.2531867678
142	0.252083625
143	0.2515458211
144	0.2505645813
145	0.249367875
146	0.2481831195
147	0.2472564678
148	0.2461016728
149	0.2450263527
150	0.2440637146
151	0.2433775032
152	0.2426018993
153	0.2419612953
154	0.241095775
155	0.2402867603
156	0.2396843356
157	0.2389311817
158	0.2379920217
159	0.2376022125
160	0.2368890082
161	0.2359213362
162	0.2351595906
163	0.2347048061
164	0.233950545
165	0.2328129283
166	0.2319659273
167	0.2314789594
168	0.2307375172
169	0.2303396309
170	0.2296907481
171	0.2289791228
172	0.2281954344
173	0.2273923988
174	0.2267751244
175	0.2265023069
176	0.2260738823
177	0.2252287748
178	0.2244796392
179	0.224003587
180	0.2232744785
181	0.2226988299
182	0.2222723785
183	0.2215863632
184	0.220301555
185	0.219858966
186	0.2191298663
187	0.2188034809
188	0.2180572221
189	0.2176708301
190	0.2169022704
191	0.2164102116
192	0.215828938
193	0.2152366045
194	0.2146990221
195	0.2138816076
196	0.2134424278
197	0.2128998329
198	0.2122640707
199	0.2115715206
200	0.21080029
201	0.2102233517
202	0.2099849772
203	0.2096999488
204	0.2093585058
205	0.2090407342
206	0.2084062701
207	0.208066988
208	0.2075993726
209	0.2070312015
210	0.2062288387
211	0.2058203384
212	0.2048045186
213	0.204300738
214	0.2039961826
215	0.2034209324
216	0.2031105488
217	0.2029165595
218	0.2024779734
219	0.2021010667
220	0.2017593677
221	0.2016347143
222	0.2013453962
223	0.2007790998
224	0.2003059981
225	0.1998844991
226	0.1993931858
227	0.1989751906
228	0.1984969185
229	0.1979110538
230	0.1976959405
231	0.1971557776
232	0.1966380389
233	0.196071001
234	0.1958580742
235	0.1955009079
236	0.1951474229
237	0.1947095953
238	0.1942067697
239	0.1936528541
240	0.1932506182
241	0.1926417982
242	0.1923017339
243	0.1920726775
244	0.1913591864
245	0.1910994193
246	0.1909806532
247	0.1907791757
248	0.1904725571
249	0.1900591642
250	0.18953016
251	0.1888977246
252	0.1883888693
253	0.1879668123
254	0.1876451479
255	0.1872050489
256	0.186788067
257	0.186319677
258	0.1859479967
259	0.185690899
260	0.1854429801
261	0.1852718928
262	0.1848350934
263	0.1844579839
264	0.1840579591
265	0.1835622339
266	0.1833493752
267	0.1832353868
268	0.1829566705
269	0.1826367344
270	0.1822733151
271	0.1819896119
272	0.1817467042
273	0.1814158943
274	0.1811086224
275	0.1808620929
276	0.1806442832
277	0.1803603696
278	0.1800903794
279	0.1796790846
280	0.1795120508
281	0.179388715
282	0.1790987971
283	0.1788141249
284	0.1786005246
285	0.1780951441
286	0.1777514074
287	0.1774808072
288	0.177201583
289	0.1768937812
290	0.1765058832
291	0.1762105229
292	0.1757130378
293	0.1753525891
294	0.1751210204
295	0.1748556712
296	0.1747439262
297	0.1744334268
298	0.1742740826
299	0.1738325958
300	0.1735904304
301	0.1733404416
302	0.1730223377
303	0.1727426215
304	0.1724531052
305	0.1720823024
306	0.1719149083
307	0.1717076083
308	0.1716342621
309	0.1713484466
310	0.1710499565
311	0.1708567226
312	0.1705705677
313	0.1702465864
314	0.1699365979
315	0.1696209199
316	0.1695016873
317	0.1692692223
318	0.1690116285
319	0.1688334373
320	0.1687689913
321	0.1686171927
322	0.1683968429
323	0.1681149582
324	0.1677549319
325	0.167603576
326	0.1673784329
327	0.1671596029
328	0.1669094054
329	0.1668310301
330	0.166591214
331	0.1664140784
332	0.1660490274
333	0.1658189811
334	0.1656462246
335	0.1652842608
336	0.1650389155
337	0.1648070549
338	0.1646026244
339	0.1644676387
340	0.1641674484
341	0.1640787215
342	0.1638199567
343	0.1636426818
344	0.1633207691
345	0.1630851446
346	0.1627750061
347	0.1626119036
348	0.1624427681
349	0.1621786102
350	0.1619241913
351	0.1617133715
352	0.161547006
353	0.1612906734
354	0.161101574
355	0.1609088179
356	0.1607278052
357	0.1605889261
358	0.1604786453
359	0.1603586344
360	0.1602323682
361	0.1600158765
362	0.1597683223
363	0.1596355204
364	0.1593869634
365	0.1590978848
366	0.1589077945
367	0.1587086659
368	0.1584898689
369	0.1582097416
370	0.1580641444
371	0.1578693376
372	0.1576876834
373	0.1575653621
374	0.157430435
375	0.157266232
376	0.1571629088
377	0.1569528667
378	0.1566761218
379	0.1564638302
380	0.156303202
381	0.156221595
382	0.1560513199
383	0.1559097891
384	0.1556777439
385	0.1555682972
386	0.1554682289
387	0.1552741209
388	0.1549972943
389	0.1548934828
390	0.1547194163
391	0.1544694321
392	0.154323588
393	0.1541386512
394	0.1540444746
395	0.1538957946
396	0.1536294141
397	0.1535519934
398	0.1535042113
399	0.1533402731
400	0.1531086074
401	0.1530551429
402	0.1529552107
403	0.1529339487
404	0.1528316662
405	0.1527149752
406	0.1525838758
407	0.1525267291
408	0.1523375857
409	0.1521622393
410	0.1520612254
411	0.151979151
412	0.1517349332
413	0.1515274194
414	0.15135516
415	0.1511562302
416	0.1510000082
417	0.1507800415
418	0.1505153326
419	0.1503890296
420	0.1502664491
421	0.1501558379
422	0.1500324715
423	0.1498682631
424	0.149708394
425	0.1496437111
426	0.1495290312
427	0.1493331011
428	0.1491461151
429	0.148924632
430	0.1487905463
431	0.1486668336
432	0.1485002591
433	0.1484255117
434	0.1482423517
435	0.1479988608
436	0.1479409224
437	0.1477889576
438	0.1476467856
439	0.1475684377
440	0.1473890585
441	0.1472817655
442	0.147225834
443	0.1471182629
444	0.1469931943
445	0.1468621548
446	0.1466788871
447	0.1463953462
448	0.1463070617
449	0.1462529533
450	0.1461603139
451	0.1460388267
452	0.1458560904
453	0.145703912
454	0.1456390976
455	0.1455116736
456	0.145443362
457	0.145231216
458	0.1451951888
459	0.1451232654
460	0.144998423
461	0.1449129708
462	0.144758289
463	0.1445843028
464	0.1444787792
465	0.1442250465
466	0.144019175
467	0.1439096943
468	0.143828339
469	0.1437372411
470	0.1435812946
471	0.1434718606
472	0.1434027898
473	0.1432786914
474	0.1431782722
475	0.1430462556
476	0.1429339007
477	0.1428184841
478	0.1426941351
479	0.1426613005
480	0.1424595719
481	0.1424188414
482	0.1422619155
483	0.142165612
484	0.1420528163
485	0.1420248896
486	0.1418658674
487	0.1418116471
488	0.141699615
489	0.1415891163
490	0.1415045006
491	0.1414436899
492	0.1413279022
493	0.1412300583
494	0.1411433254
495	0.1409744437
496	0.1408812853
497	0.1406945753
498	0.1405523756
499	0.1405202681
500	0.1403388641
501	0.1402250023
502	0.1400859796
503	0.139921396
504	0.1397976015
505	0.1397361352
506	0.1396076254
507	0.1395556958
508	0.139506609
509	0.139448752
510	0.1393968857
511	0.1393082063
512	0.1392967102
513	0.1392407168
514	0.1391131219
515	0.139027843
516	0.1389003789
517	0.138790507
518	0.1386839123
519	0.1385947321
520	0.1384804724
521	0.1383913372
522	0.138283085
523	0.1381923774
524	0.1381617783
525	0.1381246341
526	0.1380108785
527	0.1378805775
528	0.1377742532
529	0.1376890441
530	0.1376482309
531	0.1375406904
532	0.1374379605
533	0.1373605962
534	0.137303164
535	0.1372660084
536	0.1372248857
537	0.1370762809
538	0.1369183323
539	0.1368228026
540	0.1367528681
541	0.136696158
542	0.136575297
543	0.1363909775
544	0.136284834
545	0.1361669748
546	0.1360689139
547	0.1360009096
548	0.1359322185
549	0.1358423605
550	0.1357703248
551	0.1356954001
552	0.1356303988
553	0.1355176366
554	0.135474
555	0.1354204854
556	0.1353434945
557	0.1352568166
558	0.1351982563
559	0.1351229382
560	0.1350408258
561	0.1349872641
562	0.134941268
563	0.1348743056
564	0.1348180747
565	0.1347496255
566	0.1346833367
567	0.1346186804
568	0.1345693758
569	0.1344574574
570	0.1343570886
571	0.1342315415
572	0.1341983997
573	0.1341019363
574	0.1340348085
575	0.1339787589
576	0.1338920873
577	0.1338611872
578	0.1337201957
579	0.1336351142
580	0.1334764376
581	0.1334020833
582	0.1333137132
583	0.1332276857
584	0.133189105
585	0.1330697617
586	0.133016816
587	0.1329310934
588	0.1329001749
589	0.1327620682
590	0.1326490229
591	0.1326053437
592	0.1325528392
593	0.1324749339
594	0.1324298157
595	0.1323953804
596	0.1323061916
597	0.1322577443
598	0.1320988212
599	0.1319812074
600	0.1319389114
601	0.1318876157
602	0.1318450665
603	0.1317553381
604	0.1316783658
605	0.1315709557
606	0.1315456373
607	0.1315028352
608	0.1314563126
609	0.1314336411
610	0.1313714073
611	0.1312872467
612	0.1312054289
613	0.1310997834
614	0.1309694356
615	0.1308836051
616	0.1308289164
617	0.1308041695
618	0.1307591095
619	0.1306304102
620	0.1305799728
621	0.130545937
622	0.1305161496
623	0.1304427269
624	0.1304121994
625	0.1303316308
626	0.1303036283
627	0.1301914923
628	0.1301207915
629	0.1300556791
630	0.1299993018
631	0.1299371664
632	0.1299155155
633	0.1298592564
634	0.1297775676
635	0.1297489929
636	0.1297395175
637	0.1297049116
638	0.1296873999
639	0.129651772
640	0.1296401707
641	0.1295738924
642	0.1295257877
643	0.1294162151
644	0.1293742775
645	0.1292788691
646	0.1291940351
647	0.1290959516
648	0.1290422571
649	0.1289991144
650	0.1289460287
651	0.1288995622
652	0.1288044825
653	0.1286824522
654	0.1285571292
655	0.1284824673
656	0.128454619
657	0.1284276916
658	0.128382986
659	0.128278292
660	0.1282369126
661	0.1281622992
662	0.1281212714
663	0.1280142968
664	0.1279658905
665	0.1278997258
666	0.1278358304
667	0.1278112726
668	0.1276434873
669	0.1275995661
670	0.1275011776
671	0.127427193
672	0.1274033532
673	0.1272999662
674	0.1272015068
675	0.1271434399
676	0.1271063217
677	0.1270516795
678	0.1269729788
679	0.126932735
680	0.1268657757
681	0.1268382428
682	0.1268214166
683	0.1268143265
684	0.1267786346
685	0.1267465147
686	0.1266499096
687	0.1265827299
688	0.1264670956
689	0.126432849
690	0.1264005847
691	0.1263654523
692	0.1263094518
693	0.1262484136
694	0.1261508895
695	0.1261174606
696	0.1260791164
697	0.1260617893
698	0.1259915785
699	0.1259575498
700	0.1259107984
701	0.1258799556
702	0.1258555792
703	0.1258141587
704	0.1257097644
705	0.1256470709
706	0.1256002288
707	0.125568447
708	0.1255459726
709	0.1255278487
710	0.1254753228
711	0.1254221082
712	0.1253425588
713	0.1252897441
714	0.1251968987
715	0.1251691888
716	0.1251183818
717	0.125024138
718	0.1249848041
719	0.1249582504
720	0.1248580527
721	0.1248007199
722	0.1247723491
723	0.1247283267
724	0.1247035892
725	0.1246286923
726	0.1245819895
727	0.1245227099
728	0.1244631567
729	0.1244216515
730	0.1243946536
731	0.1243089257
732	0.1242611283
733	0.124202336
734	0.1241747192
735	0.12412926
736	0.1240589426
737	0.1239770342
738	0.123926504
739	0.1238921012
740	0.1238142857
741	0.1237856027
742	0.123704058
743	0.1236354981
744	0.1236010987
745	0.1235367476
746	0.1235118431
747	0.1234646336
748	0.1233752047
749	0.123345992
750	0.1233207695
751	0.1232958999
752	0.1232540069
753	0.123214149
754	0.1231405294
755	0.123106836
756	0.1230479069
757	0.1230258303
758	0.1229863101
759	0.1229667913
760	0.1229081903
761	0.1228678479
762	0.1228368396
763	0.1228094521
764	0.122769121
765	0.1226750497
766	0.1225909333
767	0.1225685136
768	0.1225285258
769	0.1225132273
770	0.1224529121
771	0.1224140806
772	0.1223625757
773	0.1223333789
774	0.1223125894
775	0.1222524052
776	0.1222008738
777	0.1221687829
778	0.1221332795
779	0.122081606
780	0.1220393902
781	0.1219486899
782	0.1219181426
783	0.1218792242
784	0.1218413238
785	0.1217848213
786	0.1217454109
787	0.1217254021
788	0.1216830279
789	0.1216200799
790	0.1215621673
791	0.1215313058
792	0.1215053462
793	0.1214531489
794	0.1214033121
795	0.1213644067
796	0.1213262232
797	0.1213044222
798	0.1212552964
799	0.1212314976
800	0.1211603035
801	0.1211263246
802	0.1211064035
803	0.1210409155
804	0.1210005975
805	0.120970913
806	0.1209360316
807	0.1208745887
808	0.1208400246
809	0.1207787129
810	0.1207519823
811	0.1207172372
812	0.1206387107
813	0.1206154931
814	0.1205505794
815	0.1204833907
816	0.1204636824
817	0.1204196584
818	0.1204061182
819	0.1203941015
820	0.120379061
821	0.1203222023
822	0.1202927757
823	0.1202767224
824	0.1202530579
825	0.1202175964
826	0.120193657
827	0.1201807923
828	0.1201188828
829	0.1201072617
830	0.1200630981
831	0.120007461
832	0.1199848929
833	0.1199547417
834	0.1199322127
835	0.1198906266
836	0.1198382127
837	0.1198005958
838	0.1197541123
839	0.1197240599
840	0.1196731474
841	0.1196533079
842	0.1195802994
843	0.1195700991
844	0.1195484292
845	0.1194816881
846	0.1194337581
847	0.1193966309
848	0.1193703964
849	0.1193450626
850	0.1192994959
851	0.1192796897
852	0.1192667348
853	0.1192218225
854	0.1191929172
855	0.1191666016
856	0.1191219975
857	0.1190889028
858	0.1190469022
859	0.1190196918
860	0.1189801025
861	0.1189353033
862	0.1188821764
863	0.1188463509
864	0.1188048835
865	0.1187730034
866	0.1187332283
867	0.1186729946
868	0.1186562086
869	0.1185753527
870	0.1185249952
871	0.1185058005
872	0.1184738887
873	0.1184448832
874	0.1183723232
875	0.1183448206
876	0.1183072185
877	0.1182785064
878	0.1182569511
879	0.1182403096
880	0.1182154207
881	0.1181225575
882	0.1181120795
883	0.1180923992
884	0.1180370044
885	0.1180024452
886	0.1179654233
887	0.117953728
888	0.1179254895
889	0.1179019097
890	0.1178847314
891	0.1178425178
892	0.1178274799
893	0.1178149562
894	0.1177903936
895	0.1177616567
896	0.1177402213
897	0.1177132303
898	0.1176993057
899	0.1176463117
900	0.1176122898
901	0.1175908413
902	0.117524463
903	0.1174870451
904	0.1174655589
905	0.1174481517
906	0.1174184274
907	0.1173918361
908	0.11730577
909	0.1172831098
910	0.1172669749
911	0.1172327712
912	0.1172175354
913	0.117194244
914	0.1171718325
915	0.1171246873
916	0.1170993978
917	0.1170790565
918	0.1170315615
919	0.1170057551
920	0.1169882556
921	0.1169689163
922	0.116921382
923	0.1168784763
924	0.1168455765
925	0.1168228724
926	0.1167849155
927	0.1167498163
928	0.1167362359
929	0.1167167753
930	0.1166879904
931	0.1166552631
932	0.1166227917
933	0.1165618583
934	0.1165160426
935	0.1164737815
936	0.1164441025
937	0.1164119343
938	0.1163497333
939	0.1162685725
940	0.1162447797
941	0.1161586352
942	0.1161106003
943	0.1160834735
944	0.1160735483
945	0.1160224898
946	0.1159995082
947	0.1159848162
948	0.1159676337
949	0.1159362924
950	0.1158946239
951	0.1158614732
952	0.1158345227
953	0.1157963376
954	0.1157720153
955	0.1157463796
956	0.1157195573
957	0.1157005436
958	0.1156676626
959	0.11564366
960	0.1156198286
961	0.1155699674
962	0.1155495367
963	0.115518359
964	0.11551017
965	0.1154801667
966	0.1154730508
967	0.1154209833
968	0.1154065822
969	0.1153798693
970	0.1153518254
971	0.1153203285
972	0.1153120355
973	0.1152886233
974	0.1152607357
975	0.1152269462
976	0.1152108649
977	0.115201133
978	0.1151853785
979	0.1151684629
980	0.1151470867
981	0.1151248304
982	0.1150965141
983	0.1150776867
984	0.114970045
985	0.1149409299
986	0.114921585
987	0.114892891
988	0.1148600524
989	0.114847906
990	0.114835022
991	0.1148052348
992	0.1147900244
993	0.1147754918
994	0.1147359618
995	0.1147036291
996	0.1146909339
997	0.1146764659
998	0.1146603421
999	0.1146516103
